MTgenes,G2Mgenes,Sgenes,RMgenes
COX7B::AMEX60DDU001007364::MSTRG.1373,JPT1::AMEX60DDU001004971::MSTRG.1009,POLA1::AMEX60DDU001002164::MSTRG.452,AMEX60DDU001000015::MSTRG.1
COX17::AMEX60DDU001008824::MSTRG.1602,ECT2::AMEX60DDU001009526::MSTRG.1711,POLA1::AMEX60DDU001002166::MSTRG.454,AMEX60DDU001000023::MSTRG.3
COX18::AMEX60DDU001020754::MSTRG.2619,ECT2::AMEX60DDU001009538::MSTRG.1715,ATAD2::AMEX60DDU001014576::MSTRG.2250,AMEX60DDU001000066::MSTRG.5
COX1-CARAU::AMEX60DDU001042139::MSTRG.3914,CENPF::AMEX60DDU001020167::MSTRG.2577,MCM5::AMEX60DDU001030208::MSTRG.3168,AMEX60DDU001000049::MSTRG.7
COX6A1::AMEX60DD000507::MSTRG.4200,SMC4::AMEX60DD001810::MSTRG.4890,CDC45::AMEX60DD000134::MSTRG.3976,AMEX60DDU001000050::MSTRG.8
COX5B::AMEX60DD001246::MSTRG.4619,CDCA2::AMEX60DD002995::MSTRG.5432,UNG::AMEX60DD000754::MSTRG.4375,AMEX60DDU001000052::MSTRG.10
COX5A::AMEX60DD003980::MSTRG.5967,CCNB2::AMEX60DD004086::MSTRG.6029,TIPIN::AMEX60DD004216::MSTRG.6101,AMEX60DDU001000053::MSTRG.11
COX8B-BOVIN::AMEX60DD004576::MSTRG.6284,CCNB2::AMEX60DD004088::MSTRG.6031,WDR76::AMEX60DD004271::MSTRG.6141,AMEX60DDU001000054::MSTRG.12
COX7R::AMEX60DD011772::MSTRG.10211,KIF23::AMEX60DD004242::MSTRG.6117,BLM::AMEX60DD004273::MSTRG.6142,AMEX60DDU001000055::MSTRG.13
COX16::AMEX60DD011895::MSTRG.10285,CKAP5::AMEX60DD005287::MSTRG.6635,FEN1::AMEX60DD004596::MSTRG.6294,AMEX60DDU001000068::MSTRG.15
COX2::AMEX60DD014875::MSTRG.11692,CDCA8::AMEX60DD005858::MSTRG.6969,E2F8::AMEX60DD005012::MSTRG.6497,AMEX60DDU001000081::MSTRG.16
COX6B1::AMEX60DD016178::MSTRG.12292,GTSE1::AMEX60DD007523::MSTRG.7874,CLSPN::AMEX60DD005937::MSTRG.7015,AMEX60DDU001000082::MSTRG.17
